sp,loss.percent.range,Points,Area
GiantPanda,0,0,0
GiantPanda,1,0,0
GiantPanda,2,2,0
GiantPanda,3,3,1
GiantPanda,4,4,1
GiantPanda,5,5,1
GiantPanda,6,6,1
GiantPanda,7,8,1
GiantPanda,8,8,2
GiantPanda,9,9,2
GiantPanda,10,12,3
GiantPanda,11,10,3
GiantPanda,12,16,3
GiantPanda,13,16,3
GiantPanda,14,13.5,4.5
GiantPanda,15,15,4
GiantPanda,16,16,5
GiantPanda,17,21.5,5
GiantPanda,18,20.5,5.5
GiantPanda,19,19.5,5.5
GiantPanda,20,20,6
GiantPanda,21,23,7
GiantPanda,22,31,7
GiantPanda,40,43,16
GiantPanda,41,47.5,16
GiantPanda,42,48.5,15
GiantPanda,43,50.5,18
GiantPanda,44,49,17
GiantPanda,45,50,17.5
GiantPanda,46,51.5,17.5
GiantPanda,47,51.5,19
GiantPanda,48,59.5,20
GiantPanda,49,53.5,20
GiantPanda,50,56.5,23.5
GiantPanda,52,62.5,18.5
Asian Black Bear,1,1,0
Asian Black Bear,2,2,1
Asian Black Bear,4,4,2
Asian Black Bear,5,5,2
Asian Black Bear,8,6,3
Asian Black Bear,9,9,4
Asian Black Bear,10,10.5,3.5
Asian Black Bear,16,18.5,7
Asian Black Bear,17,19,8
Asian Black Bear,18,17,8
Asian Black Bear,19,23,8
Asian Black Bear,20,23.5,9
Asian Black Bear,42,48,24
Asian Black Bear,43,50,23
Asian Black Bear,44,49,25
Asian Black Bear,45,51,27
Asian Black Bear,46,49,26
Asian Black Bear-Sichuan,0,0,0
Asian Black Bear-Sichuan,1,1,0
Asian Black Bear-Sichuan,2,2,0.5
Asian Black Bear-Sichuan,3,3,1
Asian Black Bear-Sichuan,4,4,1
Asian Black Bear-Sichuan,5,4.5,1
Asian Black Bear-Sichuan,6,6,1
Asian Black Bear-Sichuan,7,7,2
Asian Black Bear-Sichuan,8,8.5,1.5
Asian Black Bear-Sichuan,9,10,2
Asian Black Bear-Sichuan,10,10,2
Asian Black Bear-Sichuan,11,10,2
Asian Black Bear-Sichuan,12,11,2.5
Asian Black Bear-Sichuan,14,13,4
Asian Black Bear-Sichuan,15,12.5,3.5
Asian Black Bear-Sichuan,16,16,4
Asian Black Bear-Sichuan,17,16,3
Asian Black Bear-Sichuan,18,18,4
Asian Black Bear-Sichuan,19,18,5
Asian Black Bear-Sichuan,20,23,5.5
Asian Black Bear-Sichuan,21,21.5,5.5
Asian Black Bear-Sichuan,42,48,11
Asian Black Bear-Sichuan,43,45,13
Asian Black Bear-Sichuan,44,47,14
Asian Black Bear-Sichuan,45,48,14
Asian Black Bear-Sichuan,46,51,15
Asian Black Bear-Sichuan,47,48,16
Asian Black Bear-Sichuan,48,50,17
Asian Black Bear-Sichuan,49,51.5,17
Asian Black Bear-Sichuan,50,47,16
